video_id,university_name,category,topic,search_query,title,description,channel_name,upload_date,upload_year,views,likes,comment_count,duration,language,video_url,relevance_score,relevance_label,clean_title,clean_description,combined_text,title_word_count,title_char_count,description_word_count,description_char_count,combined_word_count,combined_char_count,emoji_count,hashtag_count,mention_count,exclamation_count,question_count,engagement_rate,log_views,log_likes,log_comments,video_age_days
6QpS7mIoM2o,Sharda University,faculty_research,faculty,Sharda University faculty,Welcome to Sharda University Agra | Campus Tour ✨📍 #CampusLife #campustour,Step into the vibrant world of Sharda University Agra — where academics meet aesthetics and every space tells a story! ✨ Join ...,Sharda University Agra,2025-06-27T10:58:56Z,2025,22119,295,1,PT19S,unknown,https://www.youtube.com/watch?v=6QpS7mIoM2o,26,Relevant,Welcome to Sharda University Agra | Campus Tour ✨📍 #CampusLife #campustour,Step into the vibrant world of Sharda University Agra — where academics meet aesthetics and every space tells a story! ✨ Join .,Welcome to Sharda University Agra | Campus Tour ✨📍 #CampusLife #campustour Step into the vibrant world of Sharda University Agra — where academics meet aesthetics and every space tells a story! ✨ Join .,11,74,23,127,34,202,2,2,0,1,0,0.013382,10.004237455636272,5.69035945432406,0.6931471805599453,370
57br3-6s3ek,Sharda University,faculty_research,faculty,Sharda University faculty,Sharda University Agra | Campus Tour | Students  Reviews  | Hiring Partners Fees &amp; Salary Package,"Discover Your Future at Sharda University Agra! ✨ Take a closer look at campus life, academics, and career opportunities at ...",Sharda University Agra (SUA),2026-04-23T11:18:38Z,2026,174,3,0,PT14M,unknown,https://www.youtube.com/watch?v=57br3-6s3ek,26,Relevant,Sharda University Agra | Campus Tour | Students Reviews | Hiring Partners Fees & Salary Package,"Discover Your Future at Sharda University Agra! ✨ Take a closer look at campus life, academics, and career opportunities at .","Sharda University Agra | Campus Tour | Students Reviews | Hiring Partners Fees & Salary Package Discover Your Future at Sharda University Agra! ✨ Take a closer look at campus life, academics, and career opportunities at .",16,95,21,125,37,221,1,0,0,1,0,0.017241,5.1647859739235145,1.3862943611198906,0.0,70
fjAySprn6SM,Central University of Rajasthan,faculty_research,faculty,Central University of Rajasthan faculty,"🚨 Faculty Recruitment Alert – Central University of Rajasthan, Ajmer 🚨","The Central University of Rajasthan (CURAJ), Ajmer, has released its official faculty recruitment notification for Professor, ...",Faculty Hub,2025-08-16T12:16:02Z,2025,100,0,0,PT1M47S,unknown,https://www.youtube.com/watch?v=fjAySprn6SM,26,Relevant,"🚨 Faculty Recruitment Alert – Central University of Rajasthan, Ajmer 🚨","The Central University of Rajasthan (CURAJ), Ajmer, has released its official faculty recruitment notification for Professor, .","🚨 Faculty Recruitment Alert – Central University of Rajasthan, Ajmer 🚨 The Central University of Rajasthan (CURAJ), Ajmer, has released its official faculty recruitment notification for Professor, .",11,70,17,127,28,198,2,0,0,0,0,0.0,4.61512051684126,0.0,0.0,320
FX1-06hCi6I,Sharda University,faculty_research,faculty,Sharda University faculty,Sharda University Campus Tour! 🏛️✨ A Quick Glimpse #ShardaUniversity,"Take a quick virtual tour of Sharda University! 🏛️ Explore the stunning campus, modern architecture, academic buildings like the ...",Study at Sharda University Shorts,2025-06-05T06:55:10Z,2025,2007,7,0,PT15S,unknown,https://www.youtube.com/watch?v=FX1-06hCi6I,26,Relevant,Sharda University Campus Tour! 🏛️✨ A Quick Glimpse #ShardaUniversity,"Take a quick virtual tour of Sharda University! 🏛️ Explore the stunning campus, modern architecture, academic buildings like the .","Sharda University Campus Tour! 🏛️✨ A Quick Glimpse #ShardaUniversity Take a quick virtual tour of Sharda University! 🏛️ Explore the stunning campus, modern architecture, academic buildings like the .",9,68,20,130,29,199,3,1,0,2,0,0.003488,7.60489448081162,2.0794415416798357,0.0,392
94_8aN6CB7A,Amity University,faculty_research,faculty,Amity University faculty,Amity University Online | Global Faculty | Online Degree | Online University | #shorts,"When faculty is global, your career grows #BeyondBoundaries Learn from international faculty with Amity University Online!",Amity University Online,2023-03-21T12:27:08Z,2023,1027,46,3,PT26S,unknown,https://www.youtube.com/watch?v=94_8aN6CB7A,26,Relevant,Amity University Online | Global Faculty | Online Degree | Online University | #shorts,"When faculty is global, your career grows #BeyondBoundaries Learn from international faculty with Amity University Online!","Amity University Online | Global Faculty | Online Degree | Online University | #shorts When faculty is global, your career grows #BeyondBoundaries Learn from international faculty with Amity University Online!",14,86,16,122,30,209,0,2,0,1,0,0.047712,6.93537044601511,3.8501476017100584,1.3862943611198906,1199
25rZGSdJ6wA,Ashoka University,faculty_research,faculty,Ashoka University faculty,"Convocation 2026 Address by Professor Somak Raychaudhury | Vice-Chancellor, Ashoka University","Reflecting on Ashoka University's journey and the promise of its graduating class, Professor Somak Raychaudhury, ...",Ashoka University,2026-05-29T08:50:25Z,2026,3918,5,0,PT17M43S,unknown,https://www.youtube.com/watch?v=25rZGSdJ6wA,26,Relevant,"Convocation 2026 Address by Professor Somak Raychaudhury | Vice-Chancellor, Ashoka University","Reflecting on Ashoka University's journey and the promise of its graduating class, Professor Somak Raychaudhury, .","Convocation 2026 Address by Professor Somak Raychaudhury | Vice-Chancellor, Ashoka University Reflecting on Ashoka University's journey and the promise of its graduating class, Professor Somak Raychaudhury, .",11,93,16,114,27,208,0,0,0,0,0,0.001276,8.273591798199632,1.791759469228055,0.0,34
oFnRuAqp6zY,Central University of Jharkhand,faculty_research,faculty,Central University of Jharkhand faculty,"CUJ Teacher’s Day Celebration 2025 | Department of Economics , Central University of Jharkhand ","The Department of Economics, Central University of Jharkhand, celebrated Teacher's Day 2025 with warmth, gratitude, and ...",Central University of Jharkhand,2025-09-12T17:11:12Z,2025,132,2,0,PT3M53S,unknown,https://www.youtube.com/watch?v=oFnRuAqp6zY,26,Relevant,"CUJ Teacher’s Day Celebration 2025 | Department of Economics , Central University of Jharkhand","The Department of Economics, Central University of Jharkhand, celebrated Teacher's Day 2025 with warmth, gratitude, and .","CUJ Teacher’s Day Celebration 2025 | Department of Economics , Central University of Jharkhand The Department of Economics, Central University of Jharkhand, celebrated Teacher's Day 2025 with warmth, gratitude, and .",14,94,17,121,31,216,0,0,0,0,0,0.015152,4.890349128221754,1.0986122886681098,0.0,293
pTQ5f8E8dZE,Bennett University,faculty_research,faculty,Bennett University faculty,Professor Barbara Oakley on AI and The Future of Learning | Bennett University,"An inspiring day at Bennett University with Professor Barbara Oakley of Oakland University - a distinguished engineer, global ...",Bennett University (Times Group),2025-09-09T09:44:46Z,2025,221,4,0,PT4M48S,unknown,https://www.youtube.com/watch?v=pTQ5f8E8dZE,26,Relevant,Professor Barbara Oakley on AI and The Future of Learning | Bennett University,"An inspiring day at Bennett University with Professor Barbara Oakley of Oakland University - a distinguished engineer, global .","Professor Barbara Oakley on AI and The Future of Learning | Bennett University An inspiring day at Bennett University with Professor Barbara Oakley of Oakland University - a distinguished engineer, global .",13,78,19,127,32,206,0,0,0,0,0,0.0181,5.402677381872279,1.6094379124341003,0.0,296
I1QLOXdv5fc,Chandigarh University,faculty_research,faculty,Chandigarh University faculty,Chandigarh University Campus Tour,"KnowYourCampus A happening campus filled with life & energy, Chandigarh University campus hosts plethora of events and ...",Chandigarh University - CU,2024-01-23T05:14:20Z,2024,8512,176,2,PT41S,unknown,https://www.youtube.com/watch?v=I1QLOXdv5fc,26,Relevant,Chandigarh University Campus Tour,"KnowYourCampus A happening campus filled with life & energy, Chandigarh University campus hosts plethora of events and .","Chandigarh University Campus Tour KnowYourCampus A happening campus filled with life & energy, Chandigarh University campus hosts plethora of events and .",4,33,18,120,22,154,0,0,0,0,0,0.020912,9.049349685884057,5.176149732573829,1.0986122886681098,891
nEDTFOB8qwU,Sharda University,faculty_research,faculty,Sharda University faculty,Inside Sharda University Agra | Campus Tour 2025 🏫✨,"Welcome to Sharda University Agra – where knowledge meets innovation! Take a virtual tour of our beautiful campus, featuring ...",Sharda University Agra,2025-07-01T12:52:57Z,2025,35248,258,0,PT16S,unknown,https://www.youtube.com/watch?v=nEDTFOB8qwU,26,Relevant,Inside Sharda University Agra | Campus Tour 2025 🏫✨,"Welcome to Sharda University Agra – where knowledge meets innovation! Take a virtual tour of our beautiful campus, featuring .","Inside Sharda University Agra | Campus Tour 2025 🏫✨ Welcome to Sharda University Agra – where knowledge meets innovation! Take a virtual tour of our beautiful campus, featuring .",9,51,20,126,29,178,1,0,0,1,0,0.00732,10.470192439043686,5.556828061699537,0.0,366
