university_name
Biju Patnaik University of Technology

Sardar Vallabhbhai National Institute of Technology Surat
Sardar Patel University
MS University of Baroda
Bhavnagar University
Kachchh University

Shivaji University Kolhapur
Rashtrasant Tukadoji Maharaj Nagpur University
Sant Gadge Baba Amravati University
Yashwantrao Chavan Maharashtra Open University
North Maharashtra University
SNDT Women's University Mumbai

Bundelkhand University Jhansi
Chhatrapati Shahu Ji Maharaj University Kanpur
Deen Dayal Upadhyaya Gorakhpur University
Dr Ram Manohar Lohia Avadh University
Veer Bahadur Singh Purvanchal University

Patna Women's College
Nalanda University
Magadh University
Lalit Narayan Mithila University

University of Science and Technology Meghalaya
North Eastern Regional Institute of Science and Technology
Nagaland University
Rajiv Gandhi University Arunachal Pradesh

Birla Institute of Technology and Science Pilani Hyderabad Campus
Birla Institute of Technology and Science Pilani Goa Campus
Amrita Vishwa Vidyapeetham
Kalinga Institute of Industrial Technology
UPES Dehradun
Shoolini University
Chitkara University
Graphic Era University
Parul University
Ahmedabad University
Flame University
MIT World Peace University
SRM University AP
SRM University Delhi NCR
Ajeenkya DY Patil University
DY Patil University Pune
DY Patil International University
KREA University
Azim Premji University
Plaksha University
Anurag University
ICFAI University Hyderabad
ICFAI University Dehradun

IIT Delhi
IIT Bombay
IIT Madras
IIT Kanpur
IIT Kharagpur
IIT Roorkee
IIT Guwahati
IIT Hyderabad
IIT Indore
IIT Gandhinagar
IIT Patna
IIT Ropar
IIT Bhubaneswar
IIT Mandi
IIT Jodhpur
IIT (BHU) Varanasi

NIT Trichy
NIT Surathkal
NIT Warangal
NIT Rourkela
NIT Calicut
NIT Allahabad
NIT Kurukshetra
NIT Jaipur
NIT Bhopal
NIT Durgapur
NIT Jamshedpur
NIT Silchar
NIT Hamirpur
NIT Raipur
NIT Patna
NIT Meghalaya
NIT Arunachal Pradesh
NIT Nagaland

IIIT Hyderabad
IIIT Allahabad
IIIT Delhi
IIIT Bangalore
IIIT Gwalior
IIIT Jabalpur
IIIT Lucknow
IIIT Kottayam
IIIT Guwahati
IIIT Kancheepuram
IIIT Naya Raipur
IIIT Bhopal

Indian Institute of Technology Tirupati
Indian Institute of Technology Palakkad
Indian Institute of Technology Dharwad
Indian Institute of Technology Bhilai
Indian Institute of Technology Jammu
Indian Institute of Technology Goa

National Institute of Technology Goa
National Institute of Technology Delhi
National Institute of Technology Puducherry
National Institute of Technology Sikkim
National Institute of Technology Uttarakhand
National Institute of Technology Manipur
National Institute of Technology Mizoram

Indian Institute of Information Technology Sri City
Indian Institute of Information Technology Kalyani
Indian Institute of Information Technology Dharwad
Indian Institute of Information Technology Una
Indian Institute of Information Technology Kota
Indian Institute of Information Technology Pune
Indian Institute of Information Technology Nagpur
Indian Institute of Information Technology Vadodara
Indian Institute of Information Technology Sonepat
Indian Institute of Information Technology Bhagalpur
Indian Institute of Information Technology Bhopal
Indian Institute of Information Technology Surat
Indian Institute of Information Technology Ranchi
